frame,label,value
0,leftPeak3,0









2,result,0
3,result,0
4,result,0
5,result,0
6,result,0
7,result,0
8,result,0
9,result,0
10,result,0.20051745239531946
11,result,0.1971841190619861
12,result,0.1921841190619861
13,result,0.18551745239531944
14,result,0.17718411906198608
15,result,0.16718411906198608
16,result,0.15551745239531942
17,result,0.39674284829566525
18,result,0.39340951496233195
19,result,0.38840951496233195
20,result,0.3817428482956653
21,result,0.373409514962332
22,result,0.363409514962332
23,result,0.3517428482956653
24,result,0.338409514962332
25,result,0.323409514962332
26,result,0.3067428482956653
27,result,0.28840951496233197
28,result,0.26840951496233195
29,result,0.2467428482956653
30,result,0.223409514962332
31,result,0.19840951496233203
32,result,0.24317747312026294
33,result,0.23984413978692962
34,result,0.2348441397869296
35,result,0.22817747312026293
36,result,0.2198441397869296
37,result,0.2098441397869296
38,result,0.20492469604584693
39,result,0.20159136271251357
40,result,0.19659136271251357
41,result,0.1899246960458469
42,result,0.18159136271251355
43,result,0.17159136271251355
44,result,0.1599246960458469
45,result,0.14659136271251355
46,result,0.2863730765386389
47,result,0.28303974320530556
48,result,0.27803974320530556
49,result,0.2713730765386389
50,result,0.26303974320530554
51,result,0.25303974320530553
52,result,0.24137307653863885
53,result,0.24251743515886973
54,result,0.2391841018255364
55,result,0.2341841018255364
56,result,0.2275174351588697
57,result,0.21918410182553638
58,result,0.20918410182553637
59,result,0.3110009022648969
60,result,0.3076675689315636
61,result,0.3026675689315636
62,result,0.2960009022648969
63,result,0.2876675689315636
64,result,0.2776675689315636
65,result,0.26600090226489687
66,result,0.25266756893156356
67,result,0.23766756893156352
68,result,0.22100090226489685
69,result,0.20266756893156349
70,result,0.18266756893156352
71,result,0.39914983660802017
72,result,0.3958165032746868
73,result,0.39081650327468687
74,result,0.3841498366080202
75,result,0.3758165032746869
76,result,0.3658165032746869
77,result,0.35414983660802024
78,result,0.4151315977864995
79,result,0.41179826445316614
80,result,0.4067982644531662
81,result,0.4001315977864995
82,result,0.3917982644531662
83,result,0.38179826445316617
84,result,0.37013159778649957
85,result,0.38966710556165096
86,result,0.3863337722283176
87,result,0.38133377222831766
88,result,0.374667105561651
89,result,0.3663337722283177
90,result,0.3563337722283177
91,result,0.34466710556165103
92,result,0.3204239043708636
93,result,0.3170905710375303
94,result,0.3120905710375303
95,result,0.3054239043708636
96,result,0.2970905710375303
97,result,0.2870905710375303
98,result,0.27542390437086356
99,result,0.26209057103753025
100,result,0.39562756858104775
101,result,0.3922942352477144
102,result,0.38729423524771445
103,result,0.3806275685810478
104,result,0.3722942352477145
105,result,0.3622942352477145
106,result,0.3506275685810478
107,result,0.33729423524771446
108,result,0.32229423524771444
109,result,0.3056275685810478
110,result,0.2872942352477144
111,result,0.26729423524771445
112,result,0.2456275685810478
113,result,0.2634020759667046
114,result,0.26006874263337126
115,result,0.25506874263337126
116,result,0.2484020759667046
117,result,0.27985732798923096
118,result,0.27652399465589766
119,result,0.27152399465589766
120,result,0.26485732798923095
121,result,0.25652399465589765
122,result,0.2465239946558976
123,result,0.23485732798923095
124,result,0.4548582315248957
125,result,0.45152489819156233
126,result,0.4465248981915624
