id,side,value
381,left,0.024119564543514858
381,right,0.027220753934882224
382,left,0.05207002769929576
382,right,0.08327981941467637
383,left,0.061685944585596876
383,right,0.055880421444389254
384,left,0.0851498577205524
384,right,0.08078487822310902
385,left,0.05633198012864168
385,right,0.17287419311137953
386,left,0.047643385670434336
386,right,0.17500267163144467
387,left,0.03861672813899616
387,right,0.16577994894498227
388,left,0.03782841081582798
388,right,0.10049916483793303
389,left,0.022422930168791304
389,right,0.03110641732305248
390,left,0.02168445965015582
390,right,0.045146905722116486
391,left,0.07337232807695844
391,right,0.02766308735162027
392,left,0.09896264981616675
392,right,0.02405783546864991
393,left,0.11376999293258452
393,right,0.025568259145234886
394,left,0.06232582222980445
394,right,0.029163806403648435
395,left,0.058443896543288174
395,right,0.048825816261779134
396,left,0.05851418160380951
396,right,0.041299435126091334
397,left,0.02700233445696659
397,right,0.013224161921485534
398,left,0.03962565329830523
398,right,0.17386335131429956
399,left,0.07000685849410086
399,right,0.24459399884810631
400,left,0.05593555796142562
400,right,0.24334694379213512
401,left,0.06889556181104832
401,right,0.2443455657280406
402,left,0.07398901817666884
402,right,0.2256381062893029
403,left,0.03972122615415141
403,right,0.19875056339173008
404,left,0.06882437053201951
404,right,0.039732437667058834
405,left,0.05320049350769588
405,right,0.05438518727100072
406,left,0.0296326617079235
406,right,0.038843029123673246
407,left,0.11985225818887649
407,right,0.04135108964095864
408,left,0.15323736213394823
408,right,0.03978540853431091
409,left,0.1834970702718027
409,right,0.02947539765005927
410,left,0.07331424208772525
410,right,0.026627518598476854
411,left,0.05057418135988887
411,right,0.0243057201656519
412,left,0.012739065092433156
412,right,0.02759265776676355
413,left,0.03877168860415398
413,right,0.01597025388481394
414,left,0.02335064778336635
414,right,0.187135254354648
415,left,0.02507004275448499
415,right,0.17462888411334465
416,left,0.02952096487220009
416,right,0.2006361427563651
417,left,0.03102100209123795
417,right,0.2081428353495615
418,left,0.03100592402779232
418,right,0.17622139791415103
419,left,0.04624270680515714
419,right,0.16314002444767586
420,left,0.037936195653274565
420,right,0.05765628310890058
421,left,0.04249546063893695
421,right,0.04850586886227951
422,left,0.007197850092854482
422,right,0.0286904291649146
423,left,0.06695726144274174
423,right,0.04318931462201554
424,left,0.11847022515793862
424,right,0.01807318948311464
425,left,0.11172096266834831
425,right,0.025790623365670482
426,left,0.09609195108111464
426,right,0.020782279417777574
427,left,0.01638074207349017
427,right,0.01885742739503722
428,left,0.026314157357977007
428,right,0.016854207349749042
429,left,0.0030403900456011145
429,right,0.12265083540217284
430,left,0.021682472913641816
430,right,0.12292125718825818
431,left,0.036986335164775924
431,right,0.15141615783581447
432,left,0.045072977266200145
432,right,0.13551718962680853
433,left,0.03191929427372178
433,right,0.18890528551960162
434,left,0.03495276516460333
434,right,0.16245113857818563
435,left,0.03650396097745186
435,right,0.07536661291272995
436,left,0.03241988696325444
436,right,0.015413207694552799
437,left,0.024032092194250655
437,right,0.014566607274591088
438,left,0.143164817546782
438,right,0.024132467218448358
439,left,0.14883750344584065
439,right,0.032762784753062685
440,left,0.11855622840901563
440,right,0.030868604328515528
441,left,0.11348653947064911
441,right,0.026566806804920393
442,left,0.09580745078356558
442,right,0.02692386398378239
443,left,0.07838390980042875
443,right,0.027504364029048066
444,left,0.0557099391991151
444,right,0.02355134398354517
445,left,0.04965955915672511
445,right,0.13409085364020396
446,left,0.05640034221071439
446,right,0.03691095407553346
447,left,0.018061841512689962
447,right,0.15887850187209218
448,left,0.0254179550331693
448,right,0.17253706504737226
449,left,0.023375295891260358
449,right,0.15087094798624298
